# Uzbek inflectional affix surfaces, keyed on the Layer 1 search key.
# GENERATED from UzMorphAnalyser affixes.csv (Salaev, MIT). Do not hand-edit.
# The source enumerates whole affix CHAINS rather than slots, so this is a
# surface list: -larimizdangina is one entry, not four. Optional buffer
# segments (i) (a) (t) (s) (n) and the archiphonemes T=d/t G=g/k/q Y=a/y
# Q=q/g/k are expanded into every surface here.
# Every POS the source gives a surface is listed, because one surface
# often serves several: -i is a possessive on a noun and part of a verb
# ending elsewhere. The analyzer uses this to reject a verb affix sitting
# on a stem the lexicon calls a noun.
# surface<TAB>pos[,pos...]
dirişdi	VERB
dirişdik	VERB
dirişdimi	VERB
dirişdingiz	VERB
dirişdingizmi	VERB
dirişdingmi	VERB
dirişga	VERB
dirişgan	VERB
dirişgandi	VERB
dirişgani	VERB
dirişganida	VERB
dirişganidan	VERB
dirişganmi	VERB
dirişganmidi	VERB
dirişib	VERB
dirişim	VERB
dirişing	VERB
dirişingiz	VERB
dirişmi	VERB
dirişni	VERB
dirmadi	VERB
dirmadik	VERB
dirmading	VERB
dirmadingiz	VERB
dirmagan	VERB
dirmagandi	VERB
dirmagandik	VERB
dirmagandim	VERB
dirmaganding	VERB
dirmagandingiz	VERB
dirmoq	VERB
dirmoqda	VERB
diruvci	VERB
ga	NOUN
gac	VERB
gaca	NOUN
gacgina	VERB
gami	NOUN
gan	VERB
ganca	VERB
gancalik	VERB
ganda	VERB
gandan	VERB
gandi	VERB
gandik	VERB
gandikmi	VERB
gandilar	VERB
gandim	VERB
ganding	VERB
gandingiz	VERB
gandingizmi	VERB
gandingmi	VERB
gani	VERB
ganica	VERB
ganida	VERB
ganidan	VERB
ganidek	VERB
ganim	VERB
ganimda	VERB
ganimdan	VERB
ganimday	VERB
ganimdek	VERB
ganimiz	VERB
ganimizda	VERB
ganimizdagina	VERB
ganimizday	VERB
ganimizdek	VERB
ganimizni	VERB
ganimiznigina	VERB
ganimni	VERB
ganimnigina	VERB
ganimning	VERB
ganing	VERB
ganingda	VERB
ganingdan	VERB
ganingday	VERB
ganingdek	VERB
ganingga	VERB
ganingiz	VERB
ganingizday	VERB
ganingizdek	VERB
ganingizni	VERB
ganingiznigina	VERB
ganinglar	VERB
ganinglarda	VERB
ganinglardan	VERB
ganinglarni	VERB
ganingni	VERB
ganingnigina	VERB
ganini	VERB
ganlar	VERB
ganlari	VERB
ganlarida	VERB
ganlaridan	VERB
ganlarim	VERB
ganlarimiz	VERB
ganlarimizni	VERB
ganlaring	VERB
ganlaringda	VERB
ganlaringdan	VERB
ganlaringiz	VERB
ganlaringni	VERB
ganlarini	VERB
ganlarni	VERB
ganlarning	VERB
ganligini	VERB
ganman	VERB
ganmi	VERB
ganmidi	VERB
ganmidik	VERB
ganmidilar	VERB
ganmidim	VERB
ganmiding	VERB
ganmidingiz	VERB
ganmisan	VERB
ganmisiz	VERB
ganmiz	VERB
