# Uzbek root lexicon, keyed on the Layer 1 search key.
# GENERATED from UzbekLemmaStems-POS-Dataset (Apache-2.0). Do not hand-edit.
# A root may carry several parts of speech; all are listed. X means the
# source gives none, in which case the analyzer applies no POS constraint.
# key<TAB>pos[,pos...]
abduxalloq	NOUN
abduxannon	NOUN
abduxayr	NOUN
abduxol	NOUN
abduxoliq	NOUN
abduxolis	NOUN
abduxoris	NOUN
abduxorun	NOUN
abduyahyo	NOUN
abduyusuf	NOUN
abduzafar	NOUN
abduzohid	NOUN
abduzohir	NOUN
abduzoir	NOUN
abduzunnun	NOUN
abduşams	NOUN
abduşaraf	NOUN
abduşarif	NOUN
abduşayx	NOUN
abduşer	NOUN
abduşohid	NOUN
abduşokir	NOUN
abduşukur	NOUN
abe	NOUN
aberrasiya	NOUN
aberratsion	NOUN
aberratsiya	NOUN
abgor	ADJ,NOUN,VERB
abgorla	VERB
abgorlan	VERB
abgorlik	NOUN
abhar	NOUN
abhazya	NOUN
abibullayev	NOUN
abibullayeva	NOUN
abihafiz	NOUN
abilov	NOUN
abilova	NOUN
abira	NOUN
abirali	NOUN
abirqul	NOUN
abisov	NOUN
abisova	NOUN
abisovic	NOUN
abiturient	NOUN
abiya	NOUN
abiyev	NOUN
abiyeva	NOUN
abiyotar	NOUN
abizov	NOUN
abizova	NOUN
abjad	NOUN
abjadxon	NOUN
abjadxonlik	NOUN
abjaq	NOUN,VERB
abjaqla	VERB
abjaqlan	VERB
abjir	ADJ,NOUN,VERB
abjirla	VERB
abjirlan	VERB
abjirlaş	VERB
abjirlik	NOUN
abjoş	NOUN
abjoşi	ADJ
abkadirov	NOUN
abkadirova	NOUN
ablah	ADJ,ADV,NOUN,VERB
ablahlarca	ADV,NOUN
ablahlaş	VERB
ablahlik	NOUN
ablalimov	NOUN
ablalimova	NOUN
ablamitov	NOUN
ablamitova	NOUN
ablaq	NOUN
ablatipov	NOUN
ablatipova	NOUN
ablayev	NOUN
ablazov	NOUN
